	lang	ref_caption	gen_caption
0	iw	דגל הצבא	חיל הים של סלובניה
1	iw	וושינגטון בגיל ארבעים, 1772	ג'ורג' וושינגטון
2	iw	שורשים של המשוואה לרמות אנרגיה מקוונטטות בבור פוטנציאל סופי.	תיאור גרפי של תיאור גרפי של תיאור גרפי של תיאור גרפי של תיאור גרפי של
3	iw	בניית תא שיט בתעלה ב-1906	פארק לאומי אוורגליידס
4	iw	משמאל מאונט הופ, אתר המצבור הסופי של קבוצת ים רוס	קבוצת ים רוס
5	iw	"קזינו ""גלי אביב"" בתל אביב, 1923"	צילום ישן של בית עם מזרקה ליד מזרקה.
6	iw	שחקני הפועל חדרה, 2019	קבוצה כדורגל
7	iw	מתוך הראיון המשותף של קובי פרחי וסטיבן ווילסון	חדר שינה
8	iw	מיצלה בממס פולרי (מים) - הקצוות ההידרופיליים מסדרים את עטיפת המיצלה ופנים המיצלה מורכב מהשרשראות ההידרופוביות	אלקטרונים
9	iw	"אלן כ""ץ, חברת הנהלה ויועצת חינוכית של בית הספר"	תלמידה בתיכון חוגים
10	iw	המצבה על קבר משפחה ג'וסיה סטמפ שנהרגו בזמן הבליץ	חיים וקריירה
11	iw	תעודת הזהות שהונפקה ליהודים בטרביץ על ידי וייס ודה פריס	רכבת האבודה מברגן בלזן לטרביץ
12	iw	חסידים עומדים על פרנצ'עס בעת טיש בחסידות בויאן	קבוצה גדולה של אנשים עומדים סביב שולחן גדול.
13	iw	"תותחי נ""מ בסמוך למתקן הגרעיני בנתנז"	תוכנית הגרעין האיראנית היא תוכנית גרעינית עם מספר תוכניות גרעיניות ותכונות
14	iw	קברו של אכבר	קבר אכבר
15	iw	אבנזה	אתר אינטרנט
16	iw	"חדוה יחזקאלי בטקס קבלת אות אומ""ץ"	שרה יחזקאלי
17	iw	"סצנה מהמחזה של מולייר ""הרופא בעל כורחו"" (תיאטרון באר שבע, 1974)"	זוג נשים עם חולצות רוק רוק רוק רוק רוק רוק רוק רוק רוק רוק
