	lang	ref_caption	gen_caption
0	iw	דגל הצבא	דגל סלובניה עם דגל סלובניה
1	iw	וושינגטון בגיל ארבעים, 1772	ג'ורג' וושינגטון, כותרת מקטע: בין המלחמות: מאונט ורנון (1759–1774)
2	iw	שורשים של המשוואה לרמות אנרגיה מקוונטטות בבור פוטנציאל סופי.	תיאור גרפי של תיאור גרפי של תיאור גרפי של תיאור גרפי של תיאור גרפי של
3	iw	בניית תא שיט בתעלה ב-1906	פארק אוורגליידס, כותרת מקטע: פיתוח הקרקע ושימורה
4	iw	משמאל מאונט הופ, אתר המצבור הסופי של קבוצת ים רוס	קבוצת ים רוס, כותרת מקטע: מסע להר התקווה (מאונט הופ)
5	iw	"קזינו ""גלי אביב"" בתל אביב, 1923"	קזינו גלי אביב, כותרת מקטע: הקמה
6	iw	שחקני הפועל חדרה, 2019	קבוצה: הפועל חדרה, כותרת מקטע: סגל השחקנים
7	iw	מתוך הראיון המשותף של קובי פרחי וסטיבן ווילסון	שני גברים עומדים על ספה עם אוזניים.
8	iw	מיצלה בממס פולרי (מים) - הקצוות ההידרופיליים מסדרים את עטיפת המיצלה ופנים המיצלה מורכב מהשרשראות ההידרופוביות	סדרה של כדורים עם מספר כדורים סביבם
9	iw	"אלן כ""ץ, חברת הנהלה ויועצת חינוכית של בית הספר"	"שם הקטע: אלן רעיה כ""ץ"
10	iw	המצבה על קבר משפחה ג'וסיה סטמפ שנהרגו בזמן הבליץ	ג'וסיה סטמפ, חיים וקריירה
11	iw	תעודת הזהות שהונפקה ליהודים בטרביץ על ידי וייס ודה פריס	כתב יד ישן עם חתימה על גבי.
12	iw	חסידים עומדים על פרנצ'עס בעת טיש בחסידות בויאן	קבוצה גדולה של אנשים עומדים סביב שולחן ארוך.
13	iw	"תותחי נ""מ בסמוך למתקן הגרעיני בנתנז"	תוכנית הגרעין האיראנית
14	iw	קברו של אכבר	קבר אכבר, סיקנדרה
15	iw	אבנזה	צילום ישן של קבוצה של צמחים גבוהים.
16	iw	"חדוה יחזקאלי בטקס קבלת אות אומ""ץ"	חברת מועצת העיר חדרה
17	iw	"סצנה מהמחזה של מולייר ""הרופא בעל כורחו"" (תיאטרון באר שבע, 1974)"	זוג נשים עם חולצות רוק רוק רוק רוק רוק רוק רוק רוק רוק רוק
18	iw	קשת חשמלית במעבר 3000 וולט באוויר שבין שני מסמרים	מוט מוליך מתכלה
19	iw	שדות שרופים במועצה אזורית אשכול כתוצאה מעפיפוני תבערה שהופרחו מרצועת עזה.	אירועי העימות בגבול ישראל–רצועת עזה (2018–הווה)
20	iw	הר דמאוונד הפסגה הגבוהה ביותר באיראן, וגם בכל אזור דרום מערב אסיה.	קטגוריה:טופוגרפיה
21	iw	הסטיקר הנפוץ ביותר של מתנגדי אחמדינז'אד, Where is my Vote - איפה הקול שלי(?)	אירועים היסטוריים - פוליטיקה, פוליטיקה, פוליטיקה, פוליטיקה, פוליטיקה, פוליטי
22	iw	"""ראש הדרקון העתיק"" בשָׁאנְהָאיגְווָאן - הקצה המזרחי של החומה הגדולה"	חומה הגדולה של סין היא חומה ענקית עם מספר רחב של חלקים שלה, אשר
23	iw	מפת התביעות הטריטוריאליות של התנועה הציונית כנספח למסמך התביעות הציוני שהוצג בפני ועידת השלום ב-3 בפברואר 1919. גבולות המדינה היהודית מסומנים בקו קטוע.	ועד המשלחות היהודיות
24	iw	עוף מים בפארק רעננה	פארק רעננה
25	iw	ציור של עדר של היפריונים רצים	שם משפחה: חיות חיים
26	iw	כלב רוח	כלב רוסי עם אוזניים ארוכות עומד ברחוב.
27	iw	צבאו של מגנוס השלישי מלך נורווגיה בסקוטלנד	דפוס ישן של קבוצה של אנשי מלחמה עם דגלים
28	iw	דישון בפרוות חורף, בגן חיות בקנטקי, ארצות הברית.	עץ עם עץ עם עץ עם עץ עם עץ עם עץ עם
29	iw	לוח זיכרון ל-34 חללי התקרית, המוצב במוזיאון ההעפלה וחיל הים, ביזמת ותיקי פלגת הטרפדות.	לוח עם מספרים רבים על לוח עם מספרים רבים
30	iw	סוללת טילי S-200 של החיל לצד המדריכים הסובייטיים.	חיל האוויר הסורי
31	iw	החללית ששוגרה ב-2016	ציר זמן מתוכנן
32	iw	פסלו של אדרימי שנמצא באללח'. אוסף המוזיאון הבריטי	כותרת מקטע: ירידה בכוחה של ימחד וסופה
33	iw	Z3 במוזיאון המדע במינכן	מחשב עם מספרים רבים עליו.
34	iw	מהבתים הראשונים בנחלים	בית ישן עם עץ ירוק ליד אותו
35	iw	"הפגנה נגד ELN ""מה יעשו האזרחים שנחטפו""?"""	קבוצה של אנשים עומדים ברחוב עם שלטים.
36	iw	"בית חרושת למיצים וריבות ""עסיס"", 1946. צלם יעקב רוזנר"	צילום בשחור-לבן של משרד עם כתובת אנגלית.
37	iw	סמל ישן של נובה סקוטיה	סמל נובה סקוטיה, כותרת מקטע: סמלים קודמים
38	iw	"ציור בסגנון ונציאני שהוצג בתור “זוג” של ""ונוס מול המראה"" באוסף גספר מנדס דה הרו"	דמות של גבר עם תינוק על הגב
39	iw	פצצה געשית בשכבות הטוף של הר בנטל	פצצה געשית, כותרת מקטע: היווצרות
40	iw	זיהוי באמצעות מבחנות מצע נוזלי	ארבעה צינורות עם מספרים ירוקים
41	iw	"רא""ל במיל. שאול מופז - התמנה לשר פחות מחצי שנה לאחר שפרש מצה""ל בגלל כניסתו המאוחרת של חוק הממשלה לתוקף, אולם התמודדתו בבחירות נפסלה לפי חוק הבחירות לכנסת"	חוק הבחירות לכנסת וחוק הממשלה
42	iw	קטר-שבו, 1957 הורכב על ידי הינו מוטורס, יפן	רכב ישן עם פנים שחור נסע ברחוב.
43	iw	מטוס חברת התעופה ניקי, אותה יסד וניהל ניקי לאודה	ניקי לאודה, כותרת מקטע: קבוצת ברבהאם, פרישה, חזרה לקבוצת מקלארן
44	iw	משחתת של הצי המלכותי הקנדי	שם הקטע: הכוחות הקנדיים
45	iw	מטול RPG-7 עם רקטה	כלי רכב ישן עם צלצול ירוק.
46	iw	מבט מסנטה מריה אל סנטיאגואיטו	סוג: צילום אווירי
47	iw	איריס צהוב, צייר ג'יימס סוורבי	ג'יימס סוורבי, כותרת מקטע: ביוגרפיה
48	iw	"חיים רמון סייע במגעים עם ש""ס להפלת הממשלה"	גבר עם חולצה עומד מול קיר.
49	iw	Circus cyaneus	קישורים חיצוניים
50	iw	ראשי הממשלה לוי אשכול וביארני בנדיקטסון, 1963.	יחסי איסלנד–ישראל
51	iw	מקדש בעל שמין על רקע האכסדרה הגדולה כפי שהוא מופיע בספרו של רוברט ווד, 1753	תיאור של עיר עם מספר בתי מקדשים והרובע
52	iw	מרקל מקבלת מהנשיא אובמה את מדליית החירות הנשיאותית, 2011	אנגלה מרקל, שם האירוע הוא אירוע פוליטי.
53	iw	עמדת מקלע ויקרס שהקים הצבא המצרי, סמוך לגשר עד הלום	איסדוד, ארץ ישראל
54	iw	גירית בתאילנד	דגים גדולים עומדים על שדה ירוק.
55	iw	החזית המערבית של הקתדרלה, שנבנתה תחת השגחתו של ז'פרואה דה לב בסגנון גותי מוקדם. הצריח הדרומי (ימני) הוא מהמאה ה-12 ואילו הצריח הצפוני (שמאלי) הוא בסגנון Flamboyant מהמאה ה-16.	קתדרלת שארטר, קתדרלת שארטר, קתדרלת שארטר, קתדרלת שאר
56	iw	מקום מנוחתה של רוחיה ח'אנום בגנים הבהאים בחיפה	אנדרטה עם זרי פרחים סביבה.
57	iw	קובי פרץ	גבר עם תכשיטים ירוקים עם תכשיטים ירוקים.
58	iw	בית-ספר בלפור (1934), אחד משורת בתי הספר שתכנן ובנה בן-סירה בתל אביב בשנות השלושים בסגנון הבינלאומי	צילום בשחור-לבן של משרדים גדולים.
59	iw	דקל דום מצרי - צולם במלחת עברונה	כותרת מקטע: העלים
60	iw	אלינור מרקס (יושבת במרכז), לצידה אחיותיה הגדולות ג'ני לונגה ולורה מרקס. עומדים - קרל מרקס מימין ופרידריך אנגלס משמאל	צילום שחור-לבן של משפחה עם ילדים.
61	iw	הפגנות בעד סיפוח אסטוניה בטאלין	אירועים 1940: כיבוש המדינות הבלטיות
62	iw	הכנסייה והאכסניה הקופטית ביפו	נצרות קופטית
63	iw	מפת הפארקים הלאומיים קינגס קניון (מצפון) וסקוויה (מדרום)	טבלת של הפארקים הלאומיים של קניון קינגס
64	iw	התנגשות אלסטית בין פוטון לבין אלקטרון במנוחה	שתי ידיות עם שתי ידיות עם שתי ידיות עם שתי ידיות עם שתי
65	iw	קספר ויינברגר עולה על מסוק בוושינגטון, 1983	קצין אמריקאי עם סרט מלחמה.
66	iw	חזית התחנה במאה ה-19	גרפיקה היסטורית של רחוב עם רחוב מלא אנשים
67	iw	"העמוד הראשון בתלמוד הבבלי בש""ס וילנה. הטקסט במרכז הוא התלמוד ומסביב - דברי הפרשנים"	דף עם טקסט יהודי ישן
68	iw	פסלו של לורקה במדריד	פדריקו גארסיה לורקה, כותרת: לזכרו
69	iw	פרט של רביית כלאיים בין אורן חד-מחטי לאורן דו-מחטי, רכס בר ריוור בצפון יוטה	קישורים חיצוניים
70	iw	מסוף VT420	מחשב עם מקלדת ליד לוח עבודה.
71	iw	גביע המדינה מתקופת ימי הדאבל 2010/2011	קבוצת כדורסל באר שבע, כותרת מקטע: 2010-2012 - הקמת הקבוצה ותחילת הצלחתה
72	iw	"מפה של פיזור האוכלוסייה השחורה בשיקגו ב-1920, מתוך דוח ועדת שיקגו לחקירת המהומות. במקרא רשום: ""כל נקודה שחורה מייצגת 40 שחורים"". גם ללא חוקי הפרדה גזעית רשמיים, הקהילה השחורה התרכזה באזור קטן, ""החגורה השחורה"", שהיה צפוף והתנאים בו היו ירודים. ניסיונות הגירה מהאזור לשכונות אחרות נתקלו פעמים רבות בהתנגדות אלימה."	רקע: מהומות הגזע בשיקגו (1919),
73	iw	להקת היפופוטמים באפריקה שמדרום לסהרה.	קבוצה של היפופוטמים חיים במים.
74	iw	שלד של היפופוטם קפריסאי גמדי.	סוג: טקסונומיה
75	iw	לב בסיטרואן בסבב ה-WTCC ביפן, 2014	רכב תיור עם מספרים על לוח הצבעים.
76	iw	מפרץ פילוס	עיר עם מים ירוקים סביבה.
77	iw	"19 במרץ: כוחות צרפתיים, בריטיים ואמריקאים, פותחים במתקפה על כוחותיו של מועמר קדאפי בלוב בהתאם להחלטה 1973 של מועצת הביטחון של האו""ם מ-17 במרץ."	מלחמת העולם הראשונה
78	iw	הסיירת המשוריינת שרנהורסט	מלחמת איי פוקלנד, כותרת מקטע: הגרמנים תוקפים את הנמל
79	iw	נואל קלארק, זוכה פרס הכוכב העולה	גבר עם תכשיטים שחורים עם תכשיטים שחורים.
80	iw	אלברט ריידר, מסלול המוות, 1896?	אלברט פינהאם ריידר, כותרת: בגרות אומנות
81	iw	פסלו של ריצ'רד הראשון בפתח ארמון וסטמינסטר בלונדון.	ריצ'רד הראשון, מלך אנגליה, כותרת מקטע: מלך אנגליה
82	iw	מסגד סופי בקוואזולו-נטאל	דרום אפריקה - קהילה דתית - קהילה דתית - קהילה דתית -
83	iw	ציורי מערות באזור סנטה ברברה בארצות הברית	ציורי המערות נמצאים באזור רדוד, עם מספר רחב של ציור צבעוני.
84	iw	תחנת הרכבת החדשה בכיכר פוטסדאם בשנת 1900 לערך	כיכר פוטסדאם, כותרת מקטע: רכבת
85	iw	בתוככי בלוק 15 של המחנה	שם הקטע: מחנה ריכוז
86	iw	זינדין זידאן	קבוצה של שחקנים משחקים כדורגל על כדור
87	iw	הדגל הצבאי הארגנטינאי שהפדרליים השתמשו בו	דגל ניו זילנד
88	iw	רימונים לספר תורה, תחילת המאה ה-20	זוג רימון עם עיצוב עתיק
89	iw	"סכו""ם לילדים ועליו תבליטים למעשיות שלגיה, כיפה אדומה ועמי ותמי"	קטגוריה:ילדים
90	iw	שטח בית העלמין היהודי בזגייז'	יהודי זגייז', כותרת מקטע: יהודי זגייז'
91	iw	מרטין בולטימור	חיל האוויר המדברי, כותרת מקטע: חיל האוויר המדברי
